Data: giovedì 7 maggio 2020	Ora: 16:43
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 ROUTE66_HR_XPS	
pass energy/rall 1: 0.00	pass energy/rall 2: 40.00	
******************************************************
Scansione:    angolo polare
Min (eV): 256.00	Max (eV): 343.00	Step (eV): 0.25	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 1198.70
polar angle (deg): 308.50	X axis (mm): 577.00
*******************  R66 parameters ********************
Step in ch_x_eV: 10	Ch x eV @ Ep=1eV: 5236
binned channels: 11	same region acquisitions: 41
******************************************************
Acq. time (s):  1.00	Number of scans:  1	Total acq. time (s):  1.00
******************************************************
256.000000	13.000000
256.250000	7.000000
256.500000	10.000000
256.750000	12.000000
257.000000	13.000000
257.250000	17.000000
257.500000	10.000000
257.750000	15.000000
258.000000	16.000000
258.250000	22.000000
258.500000	17.000000
258.750000	16.000000
259.000000	14.000000
259.250000	22.000000
259.500000	17.000000
259.750000	23.000000
260.000000	25.000000
260.250000	20.000000
260.500000	33.000000
260.750000	31.000000
261.000000	37.000000
261.250000	41.000000
261.500000	36.000000
261.750000	29.000000
262.000000	34.000000
262.250000	50.000000
262.500000	43.000000
262.750000	51.000000
263.000000	51.000000
263.250000	45.000000
263.500000	60.000000
263.750000	72.000000
264.000000	71.000000
264.250000	78.000000
264.500000	70.000000
264.750000	87.000000
265.000000	97.000000
265.250000	87.000000
265.500000	115.000000
265.750000	107.000000
266.000000	115.000000
266.250000	136.000000
266.500000	131.000000
266.750000	163.000000
267.000000	167.000000
267.250000	202.000000
267.500000	199.000000
267.750000	208.000000
268.000000	237.000000
268.250000	249.000000
268.500000	281.000000
268.750000	274.000000
269.000000	277.000000
269.250000	340.000000
269.500000	353.000000
269.750000	383.000000
270.000000	451.000000
270.250000	428.000000
270.500000	521.000000
270.750000	525.000000
271.000000	542.000000
271.250000	570.000000
271.500000	571.000000
271.750000	615.000000
272.000000	626.000000
272.250000	656.000000
272.500000	619.000000
272.750000	655.000000
273.000000	684.000000
273.250000	607.000000
273.500000	619.000000
273.750000	589.000000
274.000000	531.000000
274.250000	524.000000
274.500000	506.000000
274.750000	451.000000
275.000000	471.000000
275.250000	453.000000
275.500000	390.000000
275.750000	365.000000
276.000000	347.000000
276.250000	347.000000
276.500000	286.000000
276.750000	259.000000
277.000000	280.000000
277.250000	273.000000
277.500000	218.000000
277.750000	227.000000
278.000000	198.000000
278.250000	183.000000
278.500000	211.000000
278.750000	157.000000
279.000000	137.000000
279.250000	164.000000
279.500000	113.000000
279.750000	124.000000
280.000000	115.000000
280.250000	111.000000
280.500000	87.000000
280.750000	79.000000
281.000000	68.000000
281.250000	80.000000
281.500000	76.000000
281.750000	60.000000
282.000000	64.000000
282.250000	53.000000
282.500000	51.000000
282.750000	55.000000
283.000000	54.000000
283.250000	51.000000
283.500000	47.000000
283.750000	41.000000
284.000000	28.000000
284.250000	32.000000
284.500000	32.000000
284.750000	23.000000
285.000000	34.000000
285.250000	30.000000
285.500000	23.000000
285.750000	23.000000
286.000000	21.000000
286.250000	17.000000
286.500000	23.000000
286.750000	28.000000
287.000000	18.000000
287.250000	13.000000
287.500000	12.000000
287.750000	16.000000
288.000000	18.000000
288.250000	13.000000
288.500000	12.000000
288.750000	12.000000
289.000000	11.000000
289.250000	6.000000
289.500000	13.000000
289.750000	8.000000
290.000000	8.000000
290.250000	8.000000
290.500000	6.000000
290.750000	7.000000
291.000000	9.000000
291.250000	9.000000
291.500000	9.000000
291.750000	5.000000
292.000000	6.000000
292.250000	13.000000
292.500000	6.000000
292.750000	2.000000
293.000000	4.000000
293.250000	10.000000
293.500000	5.000000
293.750000	10.000000
294.000000	4.000000
294.250000	7.000000
294.500000	11.000000
294.750000	5.000000
295.000000	5.000000
295.250000	6.000000
295.500000	3.000000
295.750000	8.000000
296.000000	6.000000
296.250000	3.000000
296.500000	9.000000
296.750000	10.000000
297.000000	7.000000
297.250000	2.000000
297.500000	3.000000
297.750000	6.000000
298.000000	3.000000
298.250000	4.000000
298.500000	7.000000
298.750000	3.000000
299.000000	6.000000
299.250000	4.000000
299.500000	2.000000
299.750000	1.000000
300.000000	2.000000
300.250000	2.000000
300.500000	6.000000
300.750000	3.000000
301.000000	2.000000
301.250000	3.000000
301.500000	5.000000
301.750000	2.000000
302.000000	6.000000
302.250000	3.000000
302.500000	3.000000
302.750000	2.000000
303.000000	0.000000
303.250000	0.000000
303.500000	1.000000
303.750000	0.000000
304.000000	1.000000
304.250000	2.000000
304.500000	4.000000
304.750000	7.000000
305.000000	1.000000
305.250000	3.000000
305.500000	3.000000
305.750000	0.000000
306.000000	4.000000
306.250000	4.000000
306.500000	1.000000
306.750000	4.000000
307.000000	0.000000
307.250000	3.000000
307.500000	2.000000
307.750000	0.000000
308.000000	0.000000
308.250000	0.000000
308.500000	3.000000
