Data: mercoledì 17 giugno 2020	Ora: 10:56
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 ROUTE66_HR_XPS	
pass energy/rall 1: 0.00	pass energy/rall 2: 40.00	
******************************************************
Scansione:    angolo polare
Min (eV): 250.00	Max (eV): 340.00	Step (eV): 1.00	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 1198.70
polar angle (deg): 340.00	X axis (mm): 580.00
*******************  R66 parameters ********************
Step in ch_x_eV: 10	Ch x eV @ Ep=1eV: 5236
binned channels: 7	same region acquisitions: 41
******************************************************
Acq. time (s):  1.00	Number of scans:  1	Total acq. time (s):  1.00
******************************************************
250.000000	169.000000
251.000000	229.000000
252.000000	262.000000
253.000000	337.000000
254.000000	406.000000
255.000000	477.000000
256.000000	523.000000
257.000000	585.000000
258.000000	585.000000
259.000000	586.000000
260.000000	555.000000
261.000000	613.000000
262.000000	565.000000
263.000000	587.000000
264.000000	591.000000
265.000000	605.000000
266.000000	576.000000
267.000000	530.000000
268.000000	578.000000
269.000000	572.000000
270.000000	585.000000
271.000000	582.000000
272.000000	576.000000
273.000000	567.000000
274.000000	539.000000
275.000000	576.000000
276.000000	540.000000
277.000000	563.000000
278.000000	520.000000
279.000000	561.000000
280.000000	567.000000
281.000000	523.000000
282.000000	486.000000
283.000000	481.000000
284.000000	530.000000
285.000000	497.000000
286.000000	506.000000
287.000000	497.000000
288.000000	471.000000
289.000000	492.000000
290.000000	504.000000
291.000000	489.000000
292.000000	431.000000
293.000000	457.000000
294.000000	430.000000
295.000000	438.000000
296.000000	446.000000
297.000000	457.000000
298.000000	438.000000
299.000000	437.000000
300.000000	440.000000
301.000000	410.000000
302.000000	400.000000
303.000000	429.000000
304.000000	393.000000
305.000000	390.000000
306.000000	365.000000
307.000000	402.000000
308.000000	385.000000
309.000000	341.000000
310.000000	328.000000
311.000000	420.000000
312.000000	355.000000
313.000000	335.000000
314.000000	352.000000
315.000000	344.000000
316.000000	370.000000
317.000000	334.000000
318.000000	313.000000
319.000000	329.000000
320.000000	289.000000
321.000000	341.000000
322.000000	295.000000
323.000000	303.000000
324.000000	292.000000
325.000000	258.000000
326.000000	264.000000
327.000000	280.000000
328.000000	249.000000
329.000000	261.000000
330.000000	245.000000
331.000000	252.000000
332.000000	230.000000
333.000000	232.000000
334.000000	206.000000
335.000000	258.000000
336.000000	208.000000
337.000000	226.000000
338.000000	197.000000
339.000000	190.000000
340.000000	200.000000
